time_submit_value,time_duration_h,time_limit,required_cpus
42736,21.7666666665464,1440,1024
42736,0.016666666720994,15,128
42736,0,15,128
42736,0.049999999988359,15,128
42736,0.033333333267365,5,512
42736,0.249999999941792,15,32
42736,0.500000000058208,30,32
42736,24,1440,512
42736,6,360,256
42736,0.016666666546371,15,32
42736,0.016666666546371,15,32
42736,0.083333333255723,15,32
42736,0.049999999988359,15,32
42736,0.016666666720994,15,64
42736,0.016666666720994,15,128
42736,0.033333333267365,15,64
42736,0.016666666546371,15,128
42736,0.016666666720994,15,128
42736,0.016666666720994,15,64
42736,0.016666666546371,15,32
42736,0.016666666546371,15,32
42736,0,15,64
42736,0,15,128
42736,0.200000000128057,15,32
42736,0.016666666720994,15,32
42736,0.016666666546371,15,64
42736,0,15,128
42736,0.250000000116415,15,32
42736,0.249999999941792,15,32
42736,0.066666666534729,15,64
42736,0.033333333441988,15,128
42736,0.249999999941792,15,32
42736,0.199999999953434,15,32
42736,0.033333333441988,15,64
42736,0.016666666720994,15,128
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666546371,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666720994,15,32
42736,0.016666666720994,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666546371,15,32
42736,0.016666666546371,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666720994,15,32
42736,0,15,32
42736,0.199999999953434,15,128
42736,0.116666666697711,15,128
42736,0.249999999941792,15,128
42736,0.250000000116415,15,128
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666720994,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666720994,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666546371,15,32
42736,0.016666666546371,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0,15,32
42736,0.016666666720994,15,32
42736,0.016666666720994,15,32
42736,0,15,32
42736,0,15,32
42736,1.5,90,32
42737,0.016666666720994,3,32
42737,0,3,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0.016666666546371,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0.016666666720994,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666546371,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666720994,15,32
42737,0.016666666720994,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666546371,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0.016666666546371,3,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,15,32
42737,0,3,128
42737,0.049999999988359,3,128
42737,0.016666666546371,15,32
42737,0,15,32
42737,0.016666666546371,15,32
42737,0,15,32
